features_0,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,label
64,80,12345,6,14,1,1,2,1,Normal
1024,443,54321,6,10,1,3,2,1,Normal
512,22,33445,6,9,1,2,2,1,Normal
128,53,44556,17,15,1,2,2,2,Normal
256,25,55667,6,11,1,2,1,2,Normal
1500,8080,66778,6,16,2,4,1,2,Normal
32,123,77889,17,12,1,1,2,1,Normal
2048,21,88990,6,13,1,4,2,1,Normal
1024,135,12345,6,2,1,3,2,1,Malware
512,445,54321,6,3,1,2,2,1,Malware
256,139,33445,6,1,1,2,2,1,Malware
128,1433,44556,6,23,2,2,2,1,Malware
2048,3389,55667,6,4,2,4,2,1,Malware
64,4444,66778,6,2,2,1,1,2,Malware
32,6667,77889,6,3,2,1,1,2,Malware
1024,8080,12345,6,2,2,3,2,1,Malware
16,80,12345,6,14,1,1,1,2,DDoS
16,80,54321,6,14,1,1,1,2,DDoS
16,80,33445,6,14,1,1,1,2,DDoS
32,443,44556,6,15,1,1,1,2,DDoS
32,443,55667,6,15,1,1,1,2,DDoS
8,8080,66778,6,16,2,1,1,2,DDoS
24,80,77889,6,14,1,1,1,2,DDoS
1024,22,12345,6,8,1,3,1,2,Intrusion
512,23,54321,6,7,1,2,1,2,Intrusion
256,3389,33445,6,6,2,2,1,2,Intrusion
128,1433,44556,6,5,2,2,1,2,Intrusion
512,445,12347,6,4,1,2,1,2,Intrusion
64,80,12345,6,14,1,1,1,2,Port_Scan
64,21,12346,6,14,1,1,1,2,Port_Scan
64,22,12347,6,14,1,1,1,2,Port_Scan
64,23,12348,6,14,1,1,1,2,Port_Scan
64,25,12349,6,14,1,1,1,2,Port_Scan
64,53,12350,6,14,1,1,1,2,Port_Scan
128,22,12345,6,2,1,2,1,2,Brute_Force
128,22,12345,6,2,1,2,1,2,Brute_Force
128,22,12345,6,2,1,2,1,2,Brute_Force
256,3389,54321,6,3,2,2,1,2,Brute_Force
256,3389,54321,6,3,2,2,1,2,Brute_Force
256,1433,54322,6,3,2,2,1,2,Brute_Force
512,80,12345,6,14,1,2,1,2,Phishing
1024,443,54321,6,15,1,3,1,2,Phishing
256,25,33445,6,10,1,2,1,2,Phishing
